OS,Platform,CPU Cores,RAM,GPU Vendor,GPU,Resolution,Browser,IP Address,Continent,Country,Region,City,Organisation,ISP,Latitude,Longitude,Accuracy,Altitude,Direction,Speed
Linux x86_64,Linux x86_64,4,8,Google Inc. (Intel),"ANGLE (Intel, Mesa Intel(R) HD Graphics 4400 (HSW GT2), OpenGL 4.6)",1920x1080,Chrome/105.0.0.0,78.182.194.250,Asia,Turkey,Tokat,Ataköy,TT ADSL-TTnet_dynamic_gay,TTNet A.S.,41.0578283 deg,28.8480171 deg,2800.559161113507 m,Not Available,Not Available,Not Available
Linux x86_64,Linux x86_64,4,8,Google Inc. (Intel),"ANGLE (Intel, Vulkan 1.3.224 (Intel(R) HD Graphics 4400 (HSW GT2) (0x00000A16)), Intel open-source Mesa driver)",1920x1080,Chrome/105.0.0.0,78.181.84.58,Asia,Turkey,Tokat,Ataköy,TT ADSL-TTnet_dynamic_gay,TTNet A.S.,41.0343225 deg,28.6650468 deg,1516.432773109722 m,Not Available,Not Available,Not Available
41.0343225 deg,28.6650468 deg,1516.432773109722 m,Not Available,Not Available,Not Available
41.0343225 deg,28.6650468 deg,1516.432773109722 m,Not Available,Not Available,Not Available
Linux x86_64,Linux x86_64,4,8,Google Inc. (Intel),"ANGLE (Intel, Vulkan 1.3.224 (Intel(R) HD Graphics 4400 (HSW GT2) (0x00000A16)), Intel open-source Mesa driver)",1920x1080,Chrome/105.0.0.0,78.181.84.58,Asia,Turkey,Tokat,Ataköy,TT ADSL-TTnet_dynamic_gay,TTNet A.S.,41.0343225 deg,28.6650468 deg,1516.432773109722 m,Not Available,Not Available,Not Available
Android 10,Linux armv8l,8,2,Qualcomm,Adreno (TM) 506,412x892,Chrome/101.0.0.0,116.202.97.154,Europe,Germany,Saxony-Anhalt,Falkenstein,Hetzner Online GmbH,Hetzner Online GmbH,34.9951056 deg,-6.0041919 deg,7.504000186920166 m,167.30828857421875,354 deg,0.30000001192092896 m/s
34.9951056 deg,-6.0041919 deg,7.504000186920166 m,167.30828857421875,354 deg,0.30000001192092896 m/s
34.9951282 deg,-6.0041297 deg,9.282999992370605 m,155.22747802734375,356.0887145996094 deg,0.20402874052524567 m/s
34.994572 deg,-6.005007 deg,122.4000015258789 m,155.22747802734375,339.8352355957031 deg,0.0064168283715844154 m/s
Linux x86_64,Linux x86_64,4,8,Google Inc. (Intel),"ANGLE (Intel, Mesa Intel(R) HD Graphics 4400 (HSW GT2), OpenGL 4.6)",1920x1080,Chrome/113.0.0.0,78.184.21.127,Asia,Turkey,Kırklareli,Ataköy Köyü,Turk Telekomunikasyon Anonim Sirketi,Turk Telekomunikasyon Anonim Sirketi,41.0520085 deg,28.8556715 deg,22.5 m,Not Available,Not Available,Not Available
Android 13,Linux aarch64,8,8,Qualcomm,Adreno (TM) 618,384x854,Chrome/106.0.5249.126,78.184.21.127,Asia,Turkey,Kırklareli,Ataköy Köyü,Turk Telekomunikasyon Anonim Sirketi,Turk Telekomunikasyon Anonim Sirketi,41.0519851 deg,28.8556373 deg,20 m,122,Not Available,Not Available
Android 13,Linux aarch64,8,8,Qualcomm,Adreno (TM) 618,384x854,Chrome/106.0.5249.126,89.40.182.122,Europe,Italy,Lombardy,Milan,M247 Europe SRL,M247 Europe SRL,41.0519889 deg,28.8556366 deg,17.731000900268555 m,122,Not Available,0.06825405359268188 m/s
Android 13,Linux aarch64,8,8,Qualcomm,Adreno (TM) 618,360x800,Chrome/111.0.5563.116,78.175.128.130,Asia,Turkey,İstanbul,Istanbul,TT ADSL-TTnet_dynamic_aci,TTNet A.S.,41.0519993 deg,28.8557097 deg,13.534000396728516 m,122.4000015258789,Not Available,Not Available
Android 13,Linux armv81,8,8,Qualcomm,Adreno (TM) 618,360x800,Chrome/115.0.0.0,78.183.49.195,Asia,Turkey,İstanbul,Istanbul,TT ADSL-TTnet_dynamic_gay,TTNet A.S.,41.0519877 deg,28.8557513 deg,14.798999786376953 m,127.4000015258789,Not Available,Not Available
